,Region,Surface area,Population in thousands,Population density,Sex ratio,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Employment: Agriculture,Employment: Industry,Employment: Services,Unemployment,Agricultural production index,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"Balance of payments, current account",Population growth rate,Urban population,Urban population growth rate,"Fertility rate, total",Refugees and others of concern to UNHCR,Infant mortality rate (per 1000 live births,Health: Total expenditure,Health: Physicians,Education: Government expenditure,Seats held by women in national parliaments %,Mobile-cellular subscriptions,Mobile-cellular subscriptions .1,Individuals using the Internet,Threatened species,Forested area,CO2 emission estimates,"Energy production, primary",Energy supply per capita,Pop. using improved sanitation facilities,Female labour participation,Male labour participation,Life Expectancy Female,Life Expectancy Male,Population Age 0-14,Population Age 60+,Primary Enrolment Female,Primary Enrolment Male,Secondary Enrolment Female,Secondary Enrolment Male,Tertiary Enrolment Female,Tertiary Enrolment Male,Improved Drinking Water Urban,Improved Drinking Water Rural
117,7,181.0,53,295.2,104.5,183,0.6,3452.6,16.4,10.2,73.3,0.0,0.0,0.0,4.7,115,115,27.0,86.0,-58.0,-5.0,0.2,72.7,0.6,4.1,-99.0,25.4,17.1,0.5,0.0,9.1,29.2,19.3,101,70.2,1.9,0,27,93.5,24.11,29.0,53.3,72.5,71.3,39.0,5.5,93.3,93.5,80.4,73.1,41.2,44.6,84.5,56.2
118,0,1128.0,385,363.1,83.5,-99,-99.0,-99.0,-99.0,-99.0,-99.0,3.9,11.8,69.0,22.8,78,78,-99.0,-99.0,-99.0,-99.0,-0.5,88.9,0.2,2.0,-99.0,6.4,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,48,45.8,5.8,1,79,100.0,-99.0,52.6,53.8,84.4,77.8,17.7,25.7,-99.0,0.0,-99.0,0.0,-99.0,0.0,94.0,72.7
119,19,1030700.0,4420,4.3,101.6,5023,1.2,1235.0,20.9,41.7,37.4,40.3,9.5,50.2,12.0,125,125,1623.0,2174.0,-551.0,-1066.0,2.9,59.9,3.5,4.9,69.0,68.0,3.8,0.0,2.9,25.2,89.3,15.2,86,0.2,0.7,31,13,58.4,5.02,29.3,65.5,64.1,61.2,39.9,5.0,105.0,100.0,29.5,31.7,3.6,7.1,57.5,13.8
120,3,1969.0,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96,96,2194.0,4655.0,-2461.0,-566.0,0.2,39.7,-0.1,1.5,-99.0,12.0,4.8,0.0,4.9,11.6,140.6,50.1,257,19.0,3.3,10,51,99.9,0.67,46.9,74.3,77.7,70.7,18.4,16.6,103.9,102.2,97.9,93.6,41.7,31.7,93.9,92.6
121,3,-99.0,253,674.8,96.7,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,0.0,0.0,0.0,-99.0,2.8,47.0,1.9,4.1,-99.0,4.2,-99.0,-99.0,-99.0,-99.0,0.0,0.0,88,16.1,0.0,0,19,-99.0,-99.0,-99.0,0.0,82.9,76.0,40.6,5.8,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0
122,1,1964375.0,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,120,120,373883.0,387064.0,-13181.0,-33216.0,1.4,79.2,1.6,2.3,5.9,18.8,6.3,2.1,5.3,42.6,85.3,57.4,1162,34.0,3.8,8514,62,97.2,0.03,45.5,79.5,78.9,74.0,26.7,10.1,103.2,103.6,93.5,87.7,30.0,29.9,88.0,74.5
123,7,702.0,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,65.8,-99.0,-99.0,-99.0,-99.0,99,99,6.0,40.0,-34.0,22.0,0.2,22.4,0.3,3.3,0.0,33.2,13.7,0.0,12.5,0.0,30.3,31.5,167,91.8,1.4,0,22,94.8,34.11,-99.0,0.0,69.8,67.7,33.1,8.0,95.7,95.4,0.0,0.0,-99.0,0.0,85.1,49.0
124,4,1564116.0,3076,2.0,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,147,149,4917.0,3358.0,1559.0,-948.0,1.9,72.0,2.8,2.8,0.0,22.8,4.7,2.9,4.6,17.1,105.0,21.4,41,8.1,7.2,677,84,66.4,2.21,56.8,69.3,72.7,64.5,29.7,6.6,100.0,101.8,92.4,90.5,79.7,57.7,66.4,42.6
125,18,13812.0,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354.0,2263.0,-1908.0,-533.0,0.1,64.0,0.3,1.7,16.0,4.1,6.4,2.3,-99.0,23.5,162.2,64.6,98,61.5,3.5,29,64,100.0,2.44,41.8,55.9,78.8,74.0,18.1,21.3,93.3,95.2,90.3,90.4,0.0,0.0,98.0,92.2
126,9,446550.0,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858.0,41696.0,-18838.0,-2161.0,1.4,60.2,2.3,2.6,6.4,28.1,5.9,0.6,0.0,20.5,126.9,57.1,207,12.6,1.7,78,23,98.7,1.51,25.6,74.5,76.0,73.7,27.4,10.7,111.6,117.7,63.5,74.4,27.5,28.7,84.1,65.5
